Sku,Nombre,Contab,Sist_9deAbril,Faltan,Full_Sist
VT180,VASO TERMICO X 180 CC,7800,5800,2000,0
VT120,VASO TERMICO X 120 CC,17500,16250,1250,0
AGIX1,AGITADOR 15 CM SUELTO A GRANEL,15000,13800,1200,0
P001,COLLARIN UNIVERSAL PARA VASOS CAFÉ 8 12 Y 16 ONZAS,48349,47249,1100,100
T-VP12,TAPA NEGRA PARA VASO POLIPAPEL 12 ONZAS,16900,15800,1100,0
VP8,VASO POLIPAPEL 8 ONZAS,11900,10800,1100,0
T-VP8,TAPA NEGRA PARA VASO POLIPAPEL 8 ONZAS,29800,28800,1000,0
PFVC12-G9,VASO KRAFT MARRON POLIPAPEL 12 ONZAS,4000,3000,1000,0
T-VP16,TAPA NEGRA PARA VASO POLIPAPEL 14/16 ONZAS,17650,17150,500,0
VP16,VASO POLIPAPEL 16 ONZAS,7249,6749,500,200
F6,Café Bracol,466,0,466,0
P003,PORTAVASOS ARMABLE CARTON P/2 VASOS,4000,3600,400,0
F22,Café Black Premium,303,0,303,0
F7,Café Moka,231,0,231,0
TPV300DUOMO-N,TAPA VT300 CON PICO VERTEDOR NEGRA,30200,30000,200,0
F5,Café Robusta Vietnam,162,0,162,0
B100,BOLSA NEGRA BILAMINADA PARA CAFE X 1 KG,3580,3480,100,0
VP12,VASO POLIPAPEL 12 ONZAS,6800,6700,100,0
F13,Café Brasil Pedra Azul,98,0,98,0
F21,Café Peru specialty,56,0,56,0
F17,Café Colibri 85 pts ed lim specialty,54,0,54,0
F4,Café Colombia Excelso,47,0,47,0
TRF-4.5,DISCOS ALIAFOR TURBO FINO 4.5,204,163,41,43
F0,Café Descafeinado Colombia,37,0,37,0
T9415-9416NEG,TAPA PARA COL-BOX 9415-9416 NEGRA,64,30,34,0
PAST1,GALLETITAS INDIVIDUALES PASTICCINO X 200 UNIDADES,472,439,33,0
D401,CAJA DE EDULCORANTE DULKRE X 400 SOBRES LOGO FRIKA,598,566,32,0
F16,Café Caracolillo F. rojos ed. lim specialty,29,0,29,0
DELLA001,DESCALCIFICADOR MÁQUINAS AUTOMATICAS Y EXPRESS DEL,64,37,27,0
FR999(100%),BOLSA 100% ARPILLERA CAFE 100 X 70 X 70 CM,248,229,19,0
C6054TR,COLOBOX VISTA N°2,323,308,15,0
ABEFRIK,AZUCAR FRIKAF EN SOBRES LOGO FRIKAF  X 5 KG,83,70,13,0
C9386TR,LIVING BOX BAJO MIDI COLOMBRARO TRANSPARENTE,94,82,12,0
C2244VP,RECIPIENTE REDONDO X 100 L. C/TAPA PRO,11,0,11,0
C943BL,CESTO CALADO ORGANIZ. 30 X 20 CM. BLANCO,10,0,10,0
F14,Café Amabile natural Sorocabana,10,0,10,0
HE410,CAJA DE  TÉ DE JENGIBRE X25 SOBRES HEREDIA,29,20,9,0
T9415-9416TR,TAPA PARA COL-BOX 9415-9416 TRANSPARENTE,37,30,7,0
C2144NEG,RECIP.DE RESIDUOS X 25 LTS SIN TAPA NEGRO,172,165,7,0
C336NEG,BANDEJA RECTANGULAR C/ CAMPANA L. ITALIA NEGRO,83,77,6,0
C945BL,ORGANIZADOR RECTANGULAR CESTO CALADO 945 COLOMBRAR,115,109,6,0
F23,Café Clàsico,6,0,6,0
C9368BL,ORGANIZADOR DE DUCHA GRANDE BLANCO,96,91,5,0
U052,TABLETA CHOCOLATE VERDE MAPSA,6,1,5,0
VAS190,VASO PEQUEÑO 190 CC REUT FRIKAF SINCE 1993,187,182,5,0
D400,CAJA DE EDULCORANTE X 400 SOBRES LOGO DULKRE,754,750,4,0
C677TR,SEVEN BOWL TRANSPARENTE,141,137,4,0
C7000NEG,TAPA REBATIBLE X 25 LTS. NEGRO,164,160,4,0
C946BL,ORGANIZADOR TRAPECIO CANASTO RECTANGULAR COLOMBRAR,54,51,3,0
7790863008802,SYRUP CARAMELO 1 LITRO CREMUCCINO,30,27,3,0
C2134BL,CUCHARIN MEDIANO BLANCO,48,45,3,0
C2135BL,CUCHARIN GRANDE BLANCO,30,27,3,0
ABE-MAYO,CAJA MAYONESA INDIVIDUAL ABEDUL X 198 UNIDADES DE,4,2,2,0
C1621BL,BANDEJA REDONDA CON ASA DIAM 33 CM BLANCA,2,0,2,0
BOMBASSY,BOMBA DOSIFICADORA  ALMIBARES O SYRUPS (SD),56,54,2,0
C946TR,ORGANIZADOR TRAPECIO CANASTO RECTANGULAR COLOMBRAR,36,34,2,0
C814BL,ORGANIZADOR RECTANG ORBITAL N°2 28 6X16 5X11 5 CM,48,46,2,0
DELLA002,POLVO DE LIMPIEZA MAQUINA ESPRESSO DE CAFÉ 450 GR,33,31,2,0
U011,MATE COCIDO X 100 SAQUITOS ENSOBRADOS NATURA,67,65,2,0
U020,CAJA DE TE HIERBAS DIGESTIVAS CACHAMAI AMARILLO X,5,4,1,0
U050,CHOCOLATE SUBMARINO MAPSA SIN TACC CHOCOLATE X 50,12,11,1,0
U001,TÉ URRUTIA X100 SAQUITOS ENSOBRADOS SIN TACC,66,65,1,0
REMO1000,AGITADORES REMOS DE MADERA X 1000 UN EMBOLSADAS DE,389,388,1,0
PEHUE21,SYRUP CHOCOLATE BLANCO PEHUENIA 1 LTS,10,9,1,0
PEHUE23,SYRUP PISTACHO PEHUENIA 1 LTS,30,29,1,0
DELLA004,POLVO LIMPIA CAFETERAS GRUPPO DESCALCIFICANTE DELL,42,41,1,8
C7000GR,TAPA REBATIBLE X 25 LTS. CLARO,99,98,1,0
C949NEG,CESTO RATAN ALTO CON TAPA NEGRO,3,2,1,0
C953NEG,CESTO RATAN RECTANGULAR CHICO NEGRO,94,93,1,0
C955BL,CESTO RATAN RECTANGULAR GRANDE BLANCO,85,84,1,0
CRIOLLO104,INTERRUPTOR GRUPO CRIOLLO MAQUINA DE CAFE,10,9,1,0
D001,CAJA EDULCORANTE BARES HOGAR DULKRE CLASICO X 500,56,55,1,4
C116BL,RECIPIENTE X 17 CON TAPA A PEDAL BLANCO,4,3,1,0
C1957BL,TAPA P/CESTO RATAN GRANDE (ART.955 CH) BLANCO,55,54,1,0
