CODIGO	COSTO_SIN_IVA	PVP_CON_IVA
60	1771.5	3920
71	2826.75	5824
103	4618.5	9408
105	1295.25	2688
106	2644.5	5488
107	2829	5936
108	2952	6160
109	9384	19600
111	2936.25	6160
112	3511.5	7728
113	3810.75	7952
114	3213.75	6720
115	4289.25	8960
116	16206.75	33152
117	4410.75	9184
118	8540.25	17920
120	7016.25	15344
121	6665.25	14000
123	10350.75	21728
125	8929.5	18704
129	6223.5	12992
135	13330.5	27888
136	4524	9520
137	8335.5	17472
138	14396.25	31360
141	5300.25	11088
142	8940.75	18704
144	4166.25	8736
149	2965.5	6496
152	6115.5	12768
153	6617.25	13888
156	4768.5	9968
157	5948.25	12432
164	2275.5	4928
167	3926.25	8176
169	5322	11760
171	11489.25	24080
172	4531.5	9856
173	4814.25	10528
175	3307.5	7280
176	9815.25	20608
177	10979.25	22960
179	11987.25	25088
181	3130.5	6608
183	4635.75	9744
184	9943.5	17472
185	8550.75	17920
187	16791	34720
189	24876.75	51520
190	29265.75	60480
191	12640.5	26432
193	8372.25	17584
201	1746.75	3808
203	4431.75	9296
204	1172.25	2240
206	3270.75	6832
208	2001	4144
218	11796	24752
219	984	2016
222	3798	7952
224	1638	3472
225	3044.25	6384
227	5469.75	11424
229	6179.25	12992
230	6441.75	13440
231	7224	15120
232	3777	7952
234	9972.75	20384
238	572.25	1232
239	922.5	1904
243	2373	4928
244	2526.75	5264
251	2410.5	5040
252	3215.25	6720
253	1611	3024
254	7023	14672
255	3051.75	6384
257	16791.75	35168
258	8022	17584
259	7018.5	14672
260	8502.75	17808
269	1215	2688
272	6253.5	13104
276	1251	2576
277	1662	3472
278	528	1120
279	1230	2576
283	1206.75	2576
285	1935.75	4032
286	3670.5	7728
288	622.5	1344
289	1308.75	2688
291	10101	21168
292	7603.5	15456
293	2949.75	6496
294	8025.75	16800
295	1188	2464
298	2225.25	4704
299	22428	49056
301	5639.25	11760
302	3390	7056
303	5033.25	10528
307	17943	31360
313	7468.5	15680
315	8093.25	16576
320	11208	23520
321	7633.5	16016
322	9937.5	20832
323	26871.75	56000
324	8344.5	17472
325	4434	9296
326	11830.5	24752
327	13247.25	27776
328	4654.5	10192
329	5076	11088
330	1408.5	2576
331	6142.5	12880
332	6237	13104
333	4216.5	8848
335	4710	9856
336	9594	20048
337	3081	6496
339	13078.5	27440
340	1677.75	3472
341	5531.25	11536
342	3578.25	7504
343	4635.75	9744
344	1599	3360
347	3361.5	7056
348	2702.25	5712
351	3445.5	7168
353	2583	5600
354	2096.25	4592
355	1845	4032
356	1343.25	2912
357	3572.25	6496
358	8083.5	14784
360	2649.75	5600
363	2873.25	6272
364	3430.5	7504
365	4082.25	8960
366	5755.5	12544
367	2354.25	4928
369	5002.5	10528
370	5782.5	12096
371	1131.75	2352
372	1131.75	2352
373	1131.75	2352
375	2283.75	4816
377	2575.5	5376
380	1783.5	3696
381	3023.25	6384
382	5124	10752
387	4853.25	10192
388	7380	15120
389	8958	18704
390	7364.25	15120
399	2478.75	4816
403	5904	12320
404	5412	11200
405	569.25	1232
407	1141.5	2352
409	1512.75	3136
413	8610	17920
414	9471	19600
415	10086	20720
417	777	1680
418	840	1792
419	840	1792
441	900	2016
456	1413	2912
457	2644.5	5488
458	3690	7728
459	4797	10080
485	2500.5	5264
486	3793.5	7952
501	2601.75	5488
502	3291.75	6944
503	7489.5	15680
505	2382.75	5040
506	3117	6496
507	5296.5	11088
508	8454.75	17696
510	2567.25	5376
511	4320.75	9072
512	6671.25	14000
514	8925	18704
516	2944.5	6160
517	1464	3024
522	1606.5	3360
523	1670.25	3696
524	4418.25	9296
526	3359.25	7056
527	4018.5	8400
528	1710	3696
529	1760.25	3808
530	3809.25	7952
531	3690	7728
532	3378.75	7056
534	819	1792
535	4139.25	8624
536	4207.5	8848
541	2529	5488
543	3240	6832
544	3691.5	7728
545	3349.5	7056
546	4247.25	8848
547	7122	14896
548	6765	14000
550	2953.5	6160
556	4176	8736
557	3990	8736
558	5349	11648
559	1799.25	3808
574	1303.5	2688
575	1574.25	3472
576	1787.25	3696
577	2317.5	5040
578	4324.5	9072
579	1303.5	2800
580	1535.25	3360
584	1712.25	3136
586	8369.25	17472
587	2058	4256
589	3246	6832
599	1065	2240
603	893.25	1904
604	1791	3696
605	2289	4816
606	1047	2240
608	2448.75	5152
614	811.5	1792
615	811.5	1792
616	811.5	1792
617	811.5	1792
618	77932.5	163520
625	20569.5	40320
626	8375.25	16800
630	1242	2576
631	1242	2576
632	1242	2576
633	1242	2576
634	1242	2576
635	1242	2576
636	1242	2576
637	1098.75	2016
638	1950.75	3584
639	1358.25	2576
650	9653.25	20272
651	3430.5	7168
653	3807.75	7952
654	6541.5	13664
659	7203.75	15120
674	2834.25	5936
690	8942.25	18368
720	3076.5	6496
741	504	1008
743	1376.25	2912
744	1204.5	2576
746	1093.5	2240
749	2706	5712
770	4341	9072
775	534.75	1120
780	2058	4256
781	861	1792
782	2316	4816
785	2879.25	6048
788	6060	12656
813	12279	26880
814	2846.25	6272
815	2799.75	6160
816	3108	6832
817	2523	5264
818	3469.5	7280
822	2337	5152
823	3179.25	6944
824	2706	5936
826	6619.5	13440
827	16713	35056
829	4751.25	7840
830	3924	8176
831	6974.25	15120
832	4649.25	10080
833	1353	2800
834	1353	2800
835	4105.5	8624
836	5724.75	11984
837	3714.75	7728
850	2846.25	5936
862	1629.75	3584
866	1248.75	2688
867	3002.25	6384
897	15554.25	32816
898	1574.25	3472
900	7595.25	15904
902	24052.5	52640
903	24909	52192
904	3553.5	7392
906	3150	6608
909	2198.25	4592
910	9071.25	19040
911	1659	3584
912	3490.5	7616
913	3872.25	8512
914	6042.75	13216
918	12708	26656
919	10549.5	22064
920	11779.5	24640
921	2709.75	5712
