SKU|Producto|Stock|PVP|Rubro
VP4BL|VASO POLIPAPEL 4 ONZAS BLANCO|39400|133|PAPELERA - EMBALAJES - TAKE AW
PFVC08-G/10|VASO KRAFT MARRON POLIPAPEL 8 ONZAS|36200|147|PAPELERA - EMBALAJES - TAKE AW
TPV300DUOMO-N|TAPA VT300 CON PICO VERTEDOR NEGRA|31550|75|PAPELERA - EMBALAJES - TAKE AW
T-VP8|TAPA NEGRA PARA VASO POLIPAPEL 8 ONZAS|30500|72|PAPELERA - EMBALAJES - TAKE AW
VP4KRAFT|VASO POLIPAPEL 4 ONZAS KRAFT|27600|133|PAPELERA - EMBALAJES - TAKE AW
VT120|VASO TERMICO X 120 CC|21150|91|PAPELERA - EMBALAJES - TAKE AW
TPV180DUOMO-N|TAPA VT180 CON PICO VERTEDOR NEGRA|20500|75|PAPELERA - EMBALAJES - TAKE AW
TPV240DUOMO-N|TAPA VT240 CON PICO VERTEDOR NEGRA|20400|75|PAPELERA - EMBALAJES - TAKE AW
T-VP16|TAPA NEGRA PARA VASO POLIPAPEL 14/16 ONZAS|18150|77|PAPELERA - EMBALAJES - TAKE AW
T-VP12|TAPA NEGRA PARA VASO POLIPAPEL 12 ONZAS|17200|75|PAPELERA - EMBALAJES - TAKE AW
PFVC16-6/2|VASO KRAFT MARRON POLIPAPEL 16 ONZAS|14600|248|PAPELERA - EMBALAJES - TAKE AW
VP8|VASO POLIPAPEL 8 ONZAS|13400|147|PAPELERA - EMBALAJES - TAKE AW
VA/WC/300/TE|VASO TERMICO TELGOPOR DESCARTABLE 300CC|11900|106|WELL CUP
TA/WC/D24/NE|TAPA 240 CAPUCHINO NEGRA WELL CUP (SIRVE PARA 240CC / 8 Y 12 OZ)|11200|54|WELL CUP
T-VP12BL|TAPA BLANCA PARA VASO POLIPAPEL 12 ONZAS|11000|75|PAPELERA - EMBALAJES - TAKE AW
VA/WC/012/KF|VASO 12 ONZ KRAFT WELL CUP|10900|171|WELL CUP
PFVC12-G9|VASO KRAFT MARRON POLIPAPEL 12 ONZAS|10816|188|PAPELERA - EMBALAJES - TAKE AW
VT180|VASO TERMICO X 180 CC|10400|105|PAPELERA - EMBALAJES - TAKE AW
VP12|VASO POLIPAPEL 12 ONZAS|10200|188|PAPELERA - EMBALAJES - TAKE AW
T-VP8BL|TAPA BLANCA PARA VASO POLIPAPEL 8 ONZAS|9500|72|PAPELERA - EMBALAJES - TAKE AW
VP16|VASO POLIPAPEL 16 ONZAS|8049|248|PAPELERA - EMBALAJES - TAKE AW
